text,sentimen
saran sih bikin   harga ionic sama kayak brio insya alloh laris manis,positif
problem subsidi kualitas diturunin harga dinaikin usaha gitu cari cuan subsidi sebab inflasi paling gede,negatif
baik kualitas kembang dulu baik kualitas motor motor pabrikan jepang,positif
model jelek kwalitas buruk harga mahal croot,negatif
syarat   ngaco woy anak muda   blom punya rumah blom jd umkm bukan serta kur   dapet ngaco sia deui sia deui nu narima subsidi teh ari aing iraha,negatif
harga motor mahal masa harga mirip motor beat kualitas bagai langit bumi,positif
mol keren yah   berita   plus padahal mol lokal merk   batrenya juta garansi tahun anggap batre awet tahun   rakyat indonesia per tahun sekali keluar juta buat beli batre baru   o   saran uang subsidi keluar buat batre perintah   punya wewenang pertamina   kelola contoh gas kg gas kg gas kg produk baru misal batre v batre v batre v cabut bayar pasang gas pnp pom sistem swap batre banyak titik swap point indonesia luas,negatif
proses kenal produk baru butuh waktu ganti kendara bbm jadi kendara butuh waktu tehnologi baru sabar,negatif
subsidi   tepat sasar,netral
adil rata terima subsidi jangan jangan pajak pph msh subsidi perintah khianat pancasila sila lima adil seluruh rakyat indonesia   mmg   mau rata bagus   usa subsidi sama sekali untung subsidi rata umum alih kendara bbm  lebih  cepat efek apa kurang konsumsi subsidi bbm kurang polusi tingkat minat pihak swasta dl   ikut partisipasi investasi ekosistem motor,negatif
  tepat sasar donk syarat belum tepat subsidi kurang besar jd warga kurang mampu pikir beli anda subsidi jt mungkin warga kurang mampu lebih berani beli,negatif
mungkin subsidi baik arah   seragam sekolah bila lama guna seragam sekolah hapus negara ri   mungkin subsidi   seragam sekolah minimal rasa marah jengkel kpd saudara   bangsa n tanah air   terus terus rusak bangsa n negara ri dg laku korupsi macam terus terus ma af jk salah,negatif
kampung   sekarang banyak banget bocil sama cewek   pake motor,positif
banyak kenderaan buat tiongkok rekam bakar letup amerika rana masalah baterai kenderaan   bahaya,negatif
harga terlalu mahal,positif
tahan th  ,negatif
iklan kudu kencang,netral
kendaran plg rawan bakar   mudah padam,negatif
